;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;50,78;7,814452811;;;313,93;7,826779041;;;115,34;7,890089705;;;168,13;7,571193766;;;71,93;7,681328761;;;795;7,996467055;;;325,15;7,559016665;;;;;
;51,78;7,858491815;;;333,93;7,951583771;;;116,34;7,998862568;;;169,37;7,572842485;;;72,93;7,686733493;;;825;7,988922713;;;330,15;7,573363555;;;;;
;52,78;7,824071627;;;353,93;7,951583771;;;121,34;7,843744496;;;170,6;7,573711617;;;73,93;7,695650557;;;855;7,855594725;;;335,15;7,552508836;;;;;
;53,78;7,790885314;;;413,93;7,820028537;;;126,34;7,785732298;;;171,84;7,583763385;;;74,93;7,699275533;;;885;7,932070688;;;340,15;7,587652427;;;;;
;54,78;7,792948772;;;473,93;7,909602369;;;131,34;7,766025271;;;173,07;7,591648047;;;75,93;7,703989101;;;915;7,924647524;;;345,15;7,59785749;;;;;
;55,78;7,801466373;;;533,93;7,873574287;;;136,34;7,771270247;;;174,31;7,576033076;;;76,93;7,714236294;;;945;7,986304675;;;350,15;7,564403917;;;;;
;56,78;7,800244023;;;593,93;7,736714342;;;141,34;7,761076621;;;175,54;7,569760792;;;77,93;7,72710957;;;975;7,897367844;;;355,15;7,570913506;;;;;
;57,78;7,793108715;;;653,93;7,790978946;;;146,34;7,761163105;;;176,77;7,582683079;;;78,93;7,735154903;;;1005;7,910309268;;;360,15;7,556570565;;;;;
;58,78;7,768028832;;;713,93;7,790978946;;;151,34;7,775300726;;;178;7,573489358;;;79,93;7,739150077;;;1035;7,913691205;;;365,15;7,578108207;;;;;
;59,78;7,772016396;;;773,93;7,668498739;;;156,34;7,750053499;;;179,23;7,56840837;;;80,93;7,754417548;;;1065;7,882029082;;;370,15;7,547204259;;;;;
;60,78;7,756293332;;;833,93;7,666712759;;;161,34;7,711898216;;;180,46;7,565570114;;;81,93;7,75244823;;;1095;7,900042048;;;375,15;#DIV/0!;;;;;
;61,78;7,75378716;;;893,93;7,632437644;;;166,34;7,730783257;;;181,69;7,56895841;;;82,93;7,750084038;;;1125;7,931263097;;;405,15;#DIV/0!;;;;;
;62,78;7,762581621;;;953,93;7,635578747;;;171,34;7,719209181;;;182,92;7,577462694;;;83,93;7,749099997;;;1155;7,877163293;;;431,73;7,868268561;;;;;
;63,78;7,763121874;;;1013,93;7,66851642;;;176,34;7,713362067;;;184,15;7,577369499;;;84,93;7,762820651;;;1185;7,879692672;;;441,73;7,713918686;;;;;
;64,78;7,739361683;;;1073,93;7,656673522;;;181,34;7,746972885;;;185,38;7,568217024;;;85,93;7,770135087;;;1215;7,859900452;;;471,73;7,640046827;;;;;
;65,78;7,727923357;;;1133,93;7,626872447;;;186,34;7,725434878;;;195,38;7,68016087;;;86,93;7,770427637;;;1245;7,876218004;;;501,73;7,616763782;;;;;
;66,78;7,724022929;;;1193,93;7,656013164;;;191,34;7,725994335;;;205,38;7,699378436;;;87,93;7,771778765;;;1275;7,83292724;;;531,73;7,574438542;;;;;
;67,78;7,731613574;;;1253,93;7,65710839;;;196,34;7,705491831;;;215,38;7,66900809;;;88,93;7,76131265;;;1305;7,848026581;;;561,73;7,554726538;;;;;
