;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;;;;;;;;;3605,12;6,914312052;;;3610,33;7,240704725;;;3504,26;6,625113185;;;;;;;;;;;;;
;;;;;;;;;3606,12;6,915959672;;;3612,33;7,244849597;;;3504,26;6,625211364;;;;;;;;;;;;;
;;;;;;;;;3607,12;6,917332123;;;3614,33;7,248041179;;;3504,26;6,628308371;;;;;;;;;;;;;
;;;;;;;;;3608,12;6,919860074;;;3616,33;7,243427115;;;3504,26;6,626798276;;;;;;;;;;;;;
;;;;;;;;;3609,12;6,92439325;;;3618,33;7,248809361;;;3504,26;6,623955689;;;;;;;;;;;;;
;;;;;;;;;3610,12;6,927043561;;;3620,33;7,240155931;;;3504,26;6,623723198;;;;;;;;;;;;;
;;;;;;;;;3611,12;6,928507509;;;3622,33;7,240799011;;;3504,26;6,61709624;;;;;;;;;;;;;
;;;;;;;;;3612,12;6,93286257;;;3624,33;7,243309222;;;3504,26;6,618433163;;;;;;;;;;;;;
;;;;;;;;;3613,12;6,936200446;;;3626,33;7,23899013;;;3504,26;6,612664343;;;;;;;;;;;;;
;;;;;;;;;3614,12;6,938417516;;;3628,33;7,240793716;;;3504,26;6,608574418;;;;;;;;;;;;;
;;;;;;;;;3615,12;6,94290045;;;3630,33;7,242066266;;;3504,26;6,60259694;;;;;;;;;;;;;
;;;;;;;;;3616,12;6,944074913;;;3632,33;7,244541726;;;3504,26;6,600031866;;;;;;;;;;;;;
;;;;;;;;;3617,12;6,947229469;;;3634,33;7,238376461;;;3504,26;6,592108473;;;;;;;;;;;;;
;;;;;;;;;3618,12;6,949145991;;;3636,33;7,235786863;;;3504,26;6,585241519;;;;;;;;;;;;;
;;;;;;;;;3619,12;6,953533812;;;3638,33;7,229925005;;;3504,26;6,584181262;;;;;;;;;;;;;
;;;;;;;;;3620,12;6,958728081;;;3640,33;7,220403547;;;3504,26;6,576709262;;;;;;;;;;;;;
;;;;;;;;;3621,12;6,958526871;;;3642,33;7,222330898;;;3504,26;6,568263757;;;;;;;;;;;;;
;;;;;;;;;3622,12;6,961875532;;;3644,33;7,22266814;;;3504,26;6,558063973;;;;;;;;;;;;;
;;;;;;;;;3623,12;6,967157917;;;3646,33;7,218512758;;;3504,26;6,550817074;;;;;;;;;;;;;
;;;;;;;;;3624,12;6,96936317;;;3648,33;7,217594649;;;3504,26;6,544472742;;;;;;;;;;;;;
;;;;;;;;;3625,12;6,970429174;;;3650,33;7,227474506;;;3504,26;6,534118898;;;;;;;;;;;;;
;;;;;;;;;3626,12;6,977117666;;;3652,33;7,237523192;;;3504,26;6,522463761;;;;;;;;;;;;;
;;;;;;;;;3627,12;6,978331162;;;3654,33;7,23568646;;;3504,26;6,51270633;;;;;;;;;;;;;
;;;;;;;;;3628,12;6,980527943;;;3656,33;7,243482222;;;3504,26;6,501890397;;;;;;;;;;;;;
;;;;;;;;;3629,12;6,984403026;;;3658,33;7,2510025;;;3504,26;6,49075433;;;;;;;;;;;;;
;;;;;;;;;3630,12;6,987212689;;;3660,33;7,249447356;;;3504,26;6,47677983;;;;;;;;;;;;;
;;;;;;;;;3631,12;6,990481929;;;3662,33;7,243677589;;;3504,26;6,466615386;;;;;;;;;;;;;
;;;;;;;;;3632,12;6,993661464;;;3664,33;7,233919405;;;3504,26;6,454877786;;;;;;;;;;;;;
;;;;;;;;;3633,12;6,99603065;;;3666,33;7,233162859;;;3504,26;6,442173047;;;;;;;;;;;;;
;;;;;;;;;3634,12;7,001000833;;;3668,33;7,228871424;;;3504,26;6,428921006;;;;;;;;;;;;;
;;;;;;;;;3635,12;7,003777955;;;3670,33;7,226809619;;;3504,26;6,417541861;;;;;;;;;;;;;
;;;;;;;;;3636,12;7,006595503;;;3672,33;7,224341786;;;3504,26;6,399759962;;;;;;;;;;;;;
;;;;;;;;;3637,12;7,010583162;;;3674,33;7,23665406;;;3504,26;6,390118995;;;;;;;;;;;;;
;;;;;;;;;3638,12;7,01288994;;;3676,33;7,230653179;;;3504,26;6,373770859;;;;;;;;;;;;;
;;;;;;;;;3639,12;7,016770644;;;3678,33;7,233213626;;;3504,26;6,359043576;;;;;;;;;;;;;
;;;;;;;;;3640,12;7,019655446;;;3680,33;7,230066328;;;3504,26;6,34006765;;;;;;;;;;;;;
;;;;;;;;;3641,12;7,022848168;;;3682,33;7,228315265;;;3504,26;6,325250077;;;;;;;;;;;;;
;;;;;;;;;3642,12;7,025373758;;;3684,33;7,230199946;;;3504,26;6,312248826;;;;;;;;;;;;;
;;;;;;;;;3643,12;7,02895952;;;3686,33;7,227479811;;;3504,26;6,289136072;;;;;;;;;;;;;
;;;;;;;;;3644,12;7,031164527;;;3688,33;7,223493353;;;3504,26;6,271071743;;;;;;;;;;;;;
;;;;;;;;;3645,12;7,035676255;;;3690,33;7,21842606;;;3504,26;6,251921236;;;;;;;;;;;;;
;;;;;;;;;3646,12;7,039140546;;;3692,33;7,213397105;;;3504,26;6,229856241;;;;;;;;;;;;;
;;;;;;;;;3647,12;7,042447318;;;3694,33;7,214938564;;;3504,26;6,209817692;;;;;;;;;;;;;
;;;;;;;;;3648,12;7,044128884;;;3696,33;7,218013289;;;3504,26;6,189908349;;;;;;;;;;;;;
;;;;;;;;;3649,12;7,048221631;;;3698,33;7,224289255;;;3504,26;6,168983587;;;;;;;;;;;;;
;;;;;;;;;3650,12;7,051400234;;;3700,33;7,222266038;;;3504,26;6,144708991;;;;;;;;;;;;;
;;;;;;;;;3651,12;7,055523539;;;3702,33;7,228606816;;;3504,26;6,128060392;;;;;;;;;;;;;
;;;;;;;;;3652,12;7,059861067;;;3704,33;7,229872667;;;3504,26;6,112121948;;;;;;;;;;;;;
;;;;;;;;;3653,12;7,061478743;;;3706,33;7,243051847;;;3504,26;6,084389122;;;;;;;;;;;;;
;;;;;;;;;3654,12;7,065595341;;;3708,33;7,245289003;;;3504,26;6,062144661;;;;;;;;;;;;;
;;;;;;;;;3655,12;7,06801249;;;3710,33;7,249248471;;;3504,26;6,03970829;;;;;;;;;;;;;
;;;;;;;;;3656,12;7,071293729;;;3712,33;7,250182447;;;3504,26;6,024229964;;;;;;;;;;;;;
;;;;;;;;;3657,12;7,07418226;;;3714,33;7,25628427;;;3504,26;6,007866452;;;;;;;;;;;;;
;;;;;;;;;3658,12;7,075776405;;;3716,33;7,264935248;;;3504,26;5,983432732;;;;;;;;;;;;;
;;;;;;;;;3659,12;7,080564591;;;3718,33;7,262857155;;;3504,26;5,956756233;;;;;;;;;;;;;
;;;;;;;;;3660,12;7,085007064;;;3720,33;7,261603736;;;3504,26;5,941105143;;;;;;;;;;;;;
;;;;;;;;;3661,12;7,086658806;;;3722,33;7,263200876;;;3504,26;5,916808865;;;;;;;;;;;;;
;;;;;;;;;3662,12;7,090600642;;;3724,33;7,265064623;;;3504,26;5,900062964;;;;;;;;;;;;;
;;;;;;;;;3663,12;7,094024982;;;3726,33;7,263829502;;;3504,26;5,86589639;;;;;;;;;;;;;
;;;;;;;;;3664,12;7,096908393;;;3728,33;7,264447824;;;3504,26;5,799790665;;;;;;;;;;;;;
;;;;;;;;;3665,12;7,100882855;;;3730,33;7,263477139;;;3504,26;5,739500828;;;;;;;;;;;;;
;;;;;;;;;3666,12;7,101983331;;;3732,33;7,259492565;;;3504,26;5,66389105;;;;;;;;;;;;;
;;;;;;;;;3667,12;7,105574201;;;3734,33;7,248902216;;;3504,26;5,573026006;;;;;;;;;;;;;
;;;;;;;;;3668,12;7,108205547;;;3736,33;7,249408242;;;3504,26;5,495270506;;;;;;;;;;;;;
;;;;;;;;;3669,12;7,111747273;;;3738,33;7,235707394;;;3504,26;5,410201474;;;;;;;;;;;;;
;;;;;;;;;3670,12;7,116841202;;;3740,33;7,233919351;;;3504,26;5,325593205;;;;;;;;;;;;;
;;;;;;;;;3671,12;7,119395165;;;3742,33;7,223659448;;;3504,26;5,279352711;;;;;;;;;;;;;
;;;;;;;;;3672,12;7,121779447;;;3744,33;7,224522233;;;3504,26;5,188883799;;;;;;;;;;;;;
;;;;;;;;;3673,12;7,126891223;;;3746,33;7,222459634;;;3504,26;5,087526097;;;;;;;;;;;;;
;;;;;;;;;3674,12;7,128641684;;;3748,33;7,220236754;;;3504,26;5,03387991;;;;;;;;;;;;;
;;;;;;;;;3675,12;7,131503697;;;3750,33;7,211601953;;;3504,26;4,901816653;;;;;;;;;;;;;
;;;;;;;;;3676,12;7,13412415;;;3752,33;7,201222411;;;3504,26;4,833990315;;;;;;;;;;;;;
;;;;;;;;;3677,12;7,138379033;;;3754,33;7,192881697;;;3504,26;4,592447542;;;;;;;;;;;;;
;;;;;;;;;3678,12;7,139301293;;;;;;;3504,26;;;;;;;;;;;;;;
;;;;;;;;;3679,12;7,14445919;;;;;;;3504,26;4,525934713;;;;;;;;;;;;;
;;;;;;;;;3680,12;7,145528215;;;;;;;3504,26;4,33517721;;;;;;;;;;;;;
;;;;;;;;;3681,12;7,139545514;;;;;;;3504,26;4,363725743;;;;;;;;;;;;;
;;;;;;;;;3682,12;7,185722307;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3692,12;7,216585397;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3702,12;7,241585255;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3712,12;7,270073506;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3722,12;7,29780264;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3732,12;7,322500521;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3742,12;7,342529588;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3752,12;7,36495546;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3762,12;7,380088448;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3772,12;7,405527564;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3782,12;7,422543325;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3792,12;7,443149345;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3802,12;7,46632787;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3812,12;7,471846423;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3822,12;7,48571185;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3832,12;7,508443694;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3842,12;7,530721855;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3852,12;7,543863544;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3862,12;7,573848282;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3872,12;7,580109286;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3882,12;7,632062671;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3892,12;7,625587399;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3902,12;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3912,12;7,712152346;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3922,12;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;3932,12;;;;;;;;;;;;;;;;;;;;;;
